,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
113,RL Chase,Mahedi Hasan,N Pooran,1,0,1,118,36,39,47,4,6,-,18,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
114,N Pooran,Mahedi Hasan,RL Chase,1,0,1,119,35,40,24,4,7,-,18,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
115,N Pooran,Shoriful Islam,RL Chase,0,0,0,119,35,40,25,5,1,-,19,caught,N Pooran,Mohammad Naim,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
116,RL Chase,Shoriful Islam,DJ Bravo,0,0,0,119,35,39,48,6,2,-,19,bowled,RL Chase,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
117,JO Holder,Shoriful Islam,DJ Bravo,1,0,1,120,34,1,1,6,3,-,19,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
118,DJ Bravo,Shoriful Islam,JO Holder,1,0,1,121,33,1,1,6,4,-,19,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
119,JO Holder,Shoriful Islam,DJ Bravo,1,0,1,122,32,2,2,6,5,-,19,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
120,DJ Bravo,Shoriful Islam,JO Holder,0,1,1,123,31,1,2,6,6,legbyes,19,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
121,DJ Bravo,Mustafizur Rahman,JO Holder,0,0,0,123,31,1,3,7,1,-,20,caught,DJ Bravo,Soumya Sarkar,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
122,JO Holder,Mustafizur Rahman,KA Pollard,6,0,6,129,25,8,3,7,2,-,20,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
123,JO Holder,Mustafizur Rahman,KA Pollard,6,0,6,135,19,14,4,7,3,-,20,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
124,JO Holder,Mustafizur Rahman,KA Pollard,1,0,1,136,18,15,5,7,4,-,20,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
125,KA Pollard,Mustafizur Rahman,JO Holder,0,0,0,136,18,8,18,7,5,-,20,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
126,KA Pollard,Mustafizur Rahman,JO Holder,6,0,6,142,12,14,19,7,6,-,20,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh
