,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
110,N Pooran,Mahedi Hasan,RL Chase,0,0,0,110,,32,21,4,3,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
111,N Pooran,Mahedi Hasan,RL Chase,6,0,6,116,,38,22,4,4,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
112,N Pooran,Mahedi Hasan,RL Chase,1,0,1,117,,39,23,4,5,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
113,RL Chase,Mahedi Hasan,N Pooran,1,0,1,118,,39,47,4,6,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
114,N Pooran,Mahedi Hasan,RL Chase,1,0,1,119,,40,24,4,7,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
115,N Pooran,Shoriful Islam,RL Chase,0,0,0,119,,40,25,5,1,-,18,caught,N Pooran,Mohammad Naim,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
116,RL Chase,Shoriful Islam,DJ Bravo,0,0,0,119,,39,48,6,2,-,18,bowled,RL Chase,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
117,JO Holder,Shoriful Islam,DJ Bravo,1,0,1,120,,1,1,6,3,-,18,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
118,DJ Bravo,Shoriful Islam,JO Holder,1,0,1,121,,1,1,6,4,-,18,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
119,JO Holder,Shoriful Islam,DJ Bravo,1,0,1,122,,2,2,6,5,-,18,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
120,DJ Bravo,Shoriful Islam,JO Holder,0,1,1,123,,1,2,6,6,legbyes,18,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
121,DJ Bravo,Mustafizur Rahman,JO Holder,0,0,0,123,,1,3,7,1,-,19,caught,DJ Bravo,Soumya Sarkar,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
122,JO Holder,Mustafizur Rahman,KA Pollard,6,0,6,129,,8,3,7,2,-,19,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
123,JO Holder,Mustafizur Rahman,KA Pollard,6,0,6,135,,14,4,7,3,-,19,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
124,JO Holder,Mustafizur Rahman,KA Pollard,1,0,1,136,,15,5,7,4,-,19,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
125,KA Pollard,Mustafizur Rahman,JO Holder,0,0,0,136,,8,18,7,5,-,19,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
126,KA Pollard,Mustafizur Rahman,JO Holder,6,0,6,142,,14,19,7,6,-,19,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,True,142
